filename,start_time,end_time,call_type,noise_type
04-040920-02_vehicle_1.wav,30.6492,33.41613926,rumble,car
04-040920-02_vehicle_1.wav,32.0326,36.39585037,rumble,car
04-040920-02_vehicle_1.wav,33.3097,40.75915185,rumble,car
04-040920-02_vehicle_2.wav,25.7693,30.23897111,rumble,car
04-040920-03_vehicle_noise_1.wav,19.0842,24.51165778,rumble,car
04-040920-03_vehicle_noise_1.wav,24.2989,26.00163185,rumble,car
04-040920-03_vehicle_noise_1.wav,25.6218,27.75021481,rumble,car
04-040920-03_vehicle_noise_1.wav,26.8988,31.31526074,rumble,car
04-040920-03_vehicle_noise_1.wav,125.0646,128.6829052,rumble,car
04-061218-25_vehicle_noise_1.wav,13.5536,15.46917333,rumble,car
04-061218-25_vehicle_noise_1.wav,24.6745,27.97354296,rumble,car
04-061218-25_vehicle_noise_1.wav,29.6763,33.02855333,rumble,car
061220-24_airplane_01.wav,23.8035,25.39981111,rumble,airplane
090224-09_generator_01.wav,50.5826,53.45596,rumble,generator_60hz
090224-09_generator_01.wav,115.4863,124.10638,rumble,generator_60hz
090224-09_generator_01.wav,152.7774,157.6195437,rumble,generator_60hz
090224-09_generator_01.wav,273.6229,277.6136778,rumble,generator_60hz
090224-09_generator_01.wav,280.2742,282.8282978,rumble,generator_60hz
1989-06_airplane_01.wav,15.1885,21.89300667,rumble,airplane
1989-06_airplane_01.wav,54.7481,58.73887778,rumble,airplane
1989-06_airplane_01.wav,70.1472,73.18019111,rumble,airplane
1989-08_airplane_01.wav,18.0101,20.40456667,rumble,airplane
1989-08_airplane_01.wav,22.1605,24.71459778,rumble,airplane
1989-08_airplane_01.wav,31.0999,34.71820518,rumble,airplane
1989-08_airplane_01.wav,33.5475,35.46307333,rumble,airplane
1989-08_airplane_01.wav,35.3035,39.82638148,rumble,airplane
1989-08_airplane_01.wav,42.4337,46.37126741,rumble,airplane
1989-08_airplane_01.wav,45.8923,48.97850148,rumble,airplane
1989-08_airplane_01.wav,50.2024,53.12897037,rumble,airplane
1989-08_airplane_01.wav,52.7033,54.83171481,rumble,airplane
1989-08_airplane_01.wav,80.6928,85.9074163,rumble,airplane
1989-08_airplane_01.wav,86.2267,88.94042889,rumble,airplane
1989-08_airplane_01.wav,88.8872,92.45229481,rumble,airplane
1989-08_airplane_02.wav,18.7263,21.33360815,rumble,airplane
1989-08_airplane_02.wav,22.8767,25.53721852,rumble,airplane
1989-08_airplane_02.wav,31.7696,35.1750637,rumble,airplane
1989-08_airplane_02.wav,34.5365,36.34565259,rumble,airplane
1989-08_airplane_02.wav,36.2925,40.70896074,rumble,airplane
1989-08_airplane_03.wav,16.6567,18.94474593,rumble,airplane
1989-08_airplane_03.wav,20.7539,23.41441852,rumble,airplane
1989-08_airplane_03.wav,29.6764,33.02865333,rumble,airplane
1989-08_airplane_03.wav,32.2305,33.98644222,rumble,airplane
1989-08_airplane_03.wav,33.88,38.40288148,rumble,airplane
1989-08_airplane_03.wav,41.2231,45.90561259,rumble,airplane
1989-08_airplane_03.wav,48.85,53.47930222,rumble,airplane
1989-08_airplane_03.wav,53.961,59.92056148,rumble,airplane
1989-08_airplane_03.wav,79.7149,84.76988518,rumble,airplane
1989-08_airplane_03.wav,85.0359,87.74962889,rumble,airplane
1989-08_airplane_03.wav,87.7496,90.83580148,rumble,airplane
1989-08_airplane_03.wav,120.6345,123.2418081,rumble,airplane
1989-08_airplane_03.wav,126.1845,132.3036926,rumble,airplane
1989-08_airplane_03.wav,145.9255,148.2135459,rumble,airplane
